step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
635.0,61,1127.0,15.873239436619718,0.41282784702943265,20,2393.0,0.04698145384589153,15,1916.0,0.0005630107788366882,8,1820.0,0.07312104959283747,18,1581.0,3.579558506548969e-06,61,7710.0
640.0,61,1410.0,19.583333333333332,0.5261798232944747,19,2480.0,0.04518417419853707,15,1991.0,2.1280890817831206e-05,11,1870.0,0.04494929866287117,16,1657.0,0.018900429312026137,61,7998.0
645.0,65,1728.0,22.441558441558442,1.3545512568738174,19,2575.0,0.11676984741932167,15,2066.0,0.05772075111810774,15,1940.0,0.05691707086959723,16,1732.0,0.0,65,8313.0
650.0,62,1745.0,21.8125,1.903326438708045,16,2409.0,0.18603005804645345,15,2141.0,0.11236789796757858,18,2025.0,0.08294246105492523,13,1557.0,0.021265518033718008,62,8132.0
655.0,54,1533.0,19.653846153846153,1.7635831778937676,12,2022.0,0.13289527791093442,15,2218.0,0.08529538475258117,19,2102.0,0.04904247533390998,8,1173.0,0.09789176955183464,54,7515.0
660.0,50,1376.0,17.2,2.213152373079784,8,2071.0,0.08732227065697677,18,2300.0,0.10495946455335012,19,2195.0,0.0,5,989.0,0.14842793199150423,50,7555.0
665.0,44,1165.0,14.746835443037975,2.752438532590174,6,2102.0,0.10566762768245155,18,2390.0,0.13556090242382138,16,2054.0,0.11075557243785608,4,1010.0,0.24268334493080546,44,7556.0
670.0,41,953.0,12.376623376623376,2.3564523587808073,9,2140.0,0.0631320484428996,15,2220.0,0.13738545688090145,11,1669.0,0.21221540495862884,6,1038.0,0.21843732257637857,41,7067.0
675.0,43,770.0,10.0,2.0541590338944924,12,2194.0,0.026542656172888254,13,1792.0,0.10222069303476718,8,1487.0,0.13030941012481,10,1080.0,0.05423544299444119,43,6553.0
680.0,42,625.0,8.116883116883116,2.1222287950214893,15,2255.0,0.004440869649145586,8,1836.0,0.09283300853454778,6,1516.0,0.12000285990810476,13,1139.0,0.005224536827367614,42,6746.0
685.0,46,563.0,7.311688311688312,2.471858535529985,19,2342.0,0.00045055041155053484,7,1863.0,0.15329357359014417,4,1330.0,0.19142871097214958,16,1218.0,0.10688014308777205,46,6753.0
690.0,40,534.0,7.315068493150685,1.8591930530528382,16,2180.0,0.01973463585879575,8,1901.0,0.1245600288496995,2,1133.0,0.19808123894388333,14,1136.0,0.1832988350095538,40,6350.0
